"rank","index","po_annotation","re_annotation","match_annotation"
1,"im11238.jpg","indoor; people","","people"
2,"im11716.jpg","people","","people"
3,"im13408.jpg","male; people; sky; structures","","people"
4,"im1760.jpg","indoor; people","","people"
5,"im13144.jpg","female; people; plant_life; sky; structures","","people"
6,"im1675.jpg","female; indoor; male; people","","people"
7,"im16055.jpg","night; sky; structures","",""
8,"im9932.jpg","animals; structures","",""
9,"im11520.jpg","people; plant_life; structures","","people"
10,"im10123.jpg","indoor; male; people","","people"
11,"im21304.jpg","indoor","",""
12,"im16124.jpg","indoor","",""
13,"im10761.jpg","indoor","",""
14,"im20428.jpg","female; people; structures","","people"
15,"im18537.jpg","female; indoor; people; portrait","female; people; portrait","people"
16,"im7479.jpg","female; people; plant_life; sky; structures; tree","female; people","people"
17,"im13191.jpg","female; indoor; people","","people"
18,"im20282.jpg","indoor; people","","people"
19,"im23265.jpg","female; indoor; people","","people"
20,"im6236.jpg","car; male; night; people; sky; structures; transport","car; male; night; people","people"
21,"im14454.jpg","car; structures; transport","car",""
22,"im3367.jpg","animals; dog; female; indoor; people; portrait","dog; female; people; portrait","people"
23,"im9094.jpg","female; indoor; people","","people"
24,"im23582.jpg","male; people; structures","","people"
25,"im9428.jpg","indoor","",""
26,"im15743.jpg","female; people; plant_life; structures; tree","","people"
27,"im12591.jpg","female; people; structures","","people"
28,"im2385.jpg","plant_life; structures","",""
29,"im420.jpg","female; people","female","people"
30,"im1558.jpg","female; indoor; people","","people"
31,"im61.jpg","structures","",""
32,"im9862.jpg","female; indoor; people","","people"
33,"im12401.jpg","female; indoor; people","female; people","people"
34,"im22815.jpg","female; indoor; people","female; people","people"
35,"im12285.jpg","female; people; structures","","people"
36,"im4969.jpg","indoor; male; people","","people"
37,"im10413.jpg","female; indoor; people","female; people","people"
38,"im13182.jpg","female; indoor; people","","people"
39,"im24760.jpg","indoor; plant_life","",""
40,"im1912.jpg","people; plant_life; structures; transport","","people"
41,"im1196.jpg","female; indoor; people","","people"
42,"im10049.jpg","male; people; plant_life; structures; tree; water","","people"
43,"im2536.jpg","female; indoor; people","","people"
44,"im24705.jpg","indoor","",""
45,"im5489.jpg","female; indoor; people","","people"
46,"im16777.jpg","indoor","",""
47,"im14834.jpg","food","",""
48,"im13060.jpg","animals; female; indoor; people","","people"
49,"im10583.jpg","female; indoor; people","","people"
50,"im566.jpg","animals; car; dog; female; male; people; structures; transport","dog; people","people"
51,"im1809.jpg","indoor; people","","people"
52,"im5707.jpg","female; people; structures","","people"
53,"im2795.jpg","female; indoor; people","","people"
54,"im562.jpg","night; sunset; transport","",""
55,"im23687.jpg","indoor; people","","people"
56,"im8277.jpg","female; indoor; people","","people"
57,"im12157.jpg","female; indoor; people","","people"
58,"im3611.jpg","food; indoor; night","",""
59,"im24306.jpg","female; indoor; night; people","","people"
60,"im11678.jpg","female; indoor; people","","people"
61,"im13478.jpg","female; people; plant_life","","people"
62,"im3474.jpg","male; night; people; structures","male; people","people"
63,"im16941.jpg","female; people","","people"
64,"im4245.jpg","indoor; male; people","male; people","people"
65,"im6252.jpg","female; indoor; people","","people"
66,"im18850.jpg","female; indoor; people","female; people","people"
67,"im9408.jpg","clouds; male; people; sea; sky; water","","people"
68,"im4624.jpg","animals; indoor","",""
69,"im24829.jpg","female; people; structures","","people"
70,"im19278.jpg","male; people; structures; transport","male; people","people"
71,"im2611.jpg","indoor; male; people","","people"
72,"im11024.jpg","female; indoor; people","female; people","people"
73,"im16398.jpg","car; female; people; transport","","people"
74,"im9722.jpg","indoor; people","","people"
75,"im10400.jpg","car; people; plant_life; structures; transport; tree; water","","people"
76,"im1223.jpg","female; indoor; people","","people"
77,"im22310.jpg","indoor; male; people","male; people","people"
78,"im7731.jpg","female; indoor; people","female; people","people"
79,"im24870.jpg","female; indoor; people","","people"
80,"im4667.jpg","indoor; night; people","","people"
81,"im24211.jpg","indoor; male; people","","people"
82,"im11647.jpg","animals; female; indoor; people","","people"
83,"im11999.jpg","car; structures; transport","car",""
84,"im13606.jpg","female; structures","",""
85,"im3961.jpg","car; plant_life; structures; transport; tree","",""
86,"im7701.jpg","indoor; structures","",""
87,"im10430.jpg","female; indoor; people","","people"
88,"im18434.jpg","indoor; people; transport","","people"
89,"im22467.jpg","car; male; people; transport","car","people"
90,"im21685.jpg","people; structures","","people"
91,"im624.jpg","people; plant_life; structures; tree","","people"
92,"im10235.jpg","female; indoor; night; people","","people"
93,"im17244.jpg","car; structures; transport","car",""
94,"im6910.jpg","indoor; male; people","","people"
95,"im20275.jpg","people","","people"
96,"im7910.jpg","male; people; structures","","people"
97,"im16112.jpg","female; people; structures","","people"
98,"im12674.jpg","female; indoor; people","","people"
99,"im13941.jpg","female; indoor; people","","people"
100,"im4743.jpg","male; people; structures; sunset; transport","male","people"
101,"im5325.jpg","indoor","",""
102,"im17956.jpg","female; male; people; plant_life; structures; tree; water","female; male; people","people"
103,"im14557.jpg","indoor","",""
104,"im21280.jpg","male; people; structures","","people"
105,"im4246.jpg","animals; indoor","",""
106,"im7775.jpg","food; indoor","",""
107,"im8139.jpg","indoor; people","","people"
108,"im17302.jpg","indoor","",""
109,"im9427.jpg","female; indoor; night; people; structures","people","people"
110,"im6741.jpg","indoor","",""
111,"im9757.jpg","structures","",""
112,"im15220.jpg","animals; bird; male; people; structures","bird","people"
113,"im8744.jpg","indoor; people","","people"
114,"im20527.jpg","female; flower; people; plant_life; portrait; structures","female; people; portrait","people"
115,"im23977.jpg","indoor; male; people","","people"
116,"im9741.jpg","male; people; plant_life; structures","male; people","people"
117,"im16877.jpg","female; indoor; people","","people"
118,"im1983.jpg","animals; dog; male; people; structures","dog","people"
119,"im6483.jpg","animals; dog; female; people; structures","dog","people"
120,"im14470.jpg","male; people; structures","male; people","people"
121,"im17485.jpg","animals; dog; female; indoor; people","dog","people"
122,"im10128.jpg","car; night; transport","car",""
123,"im10099.jpg","flower; indoor; plant_life","",""
124,"im16987.jpg","indoor","",""
125,"im13885.jpg","animals; dog; indoor","dog",""
126,"im21830.jpg","car; indoor; structures; transport","car",""
127,"im1344.jpg","car; plant_life; structures; transport; tree","car",""
128,"im17731.jpg","female; indoor; people; portrait","female; people; portrait","people"
129,"im11611.jpg","structures","",""
130,"im11184.jpg","female; indoor; people; plant_life","female; people","people"
131,"im7481.jpg","indoor; people","","people"
132,"im6793.jpg","female; indoor; male; people","female","people"
133,"im24017.jpg","animals; bird; night; structures","bird",""
134,"im19325.jpg","structures; transport","",""
135,"im9176.jpg","food; indoor","",""
136,"im634.jpg","night; people","","people"
137,"im14037.jpg","car; structures; transport","car",""
138,"im17246.jpg","female; people","","people"
139,"im17623.jpg","food; indoor","",""
140,"im15812.jpg","people","","people"
141,"im10832.jpg","female; indoor; people","","people"
142,"im248.jpg","animals; indoor","",""
143,"im19635.jpg","indoor","",""
144,"im19882.jpg","indoor; male; people","","people"
145,"im23943.jpg","food; indoor","",""
146,"im21118.jpg","animals; indoor","",""
147,"im18792.jpg","female; indoor; people","","people"
148,"im22919.jpg","indoor","",""
149,"im13997.jpg","car; male; people; structures; transport","male; people","people"
150,"im9115.jpg","indoor; male; people; structures","","people"
151,"im4668.jpg","female; people; plant_life; tree","","people"
152,"im2544.jpg","indoor; male; people","","people"
153,"im13664.jpg","car; female; people; plant_life; portrait; sky; structures; transport; tree","female; people; portrait","people"
