"rank","index","po_annotation","re_annotation","match_annotation"
1,"im17832.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
2,"im5290.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
3,"im3868.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
4,"im1016.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
5,"im12140.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
6,"im20211.jpg","female; indoor; people","female; people","female; indoor; people"
7,"im16912.jpg","female; indoor; night; people; portrait","female; people; portrait","female; indoor; people; portrait"
8,"im20011.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
9,"im14013.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
10,"im332.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
11,"im10548.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
12,"im19944.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
13,"im472.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
14,"im22002.jpg","female; night; people; portrait","female; people; portrait","female; people; portrait"
15,"im13572.jpg","female; flower; indoor; people; plant_life; portrait","female; people; portrait","female; indoor; people; portrait"
16,"im15513.jpg","female; indoor; people","female; people","female; indoor; people"
17,"im7728.jpg","female; indoor; people","female; people","female; indoor; people"
18,"im12401.jpg","female; indoor; people","female; people","female; indoor; people"
19,"im4201.jpg","female; indoor; night; people; portrait","female; people; portrait","female; indoor; people; portrait"
20,"im7650.jpg","female; indoor; male; people","female; people","female; indoor; people"
21,"im2483.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
22,"im9220.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
23,"im14926.jpg","indoor; male; people; portrait","male; people; portrait","indoor; people; portrait"
24,"im7952.jpg","female; indoor; people","female; people","female; indoor; people"
25,"im21141.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
26,"im517.jpg","animals; female; indoor; people","people","female; indoor; people"
27,"im6340.jpg","female; indoor; night; people; portrait","female; people; portrait","female; indoor; people; portrait"
28,"im16803.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
29,"im1409.jpg","female; indoor; night; people; portrait","female; people; portrait","female; indoor; people; portrait"
30,"im20116.jpg","female; flower; indoor; people; plant_life; portrait","female; people; portrait","female; indoor; people; portrait"
31,"im13398.jpg","female; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
32,"im17962.jpg","female; people; plant_life; portrait; sky; structures; tree","female; people; portrait","female; people; portrait"
33,"im17477.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
34,"im11026.jpg","female; indoor; people","female; people","female; indoor; people"
35,"im9988.jpg","female; indoor; people","","female; indoor; people"
36,"im3911.jpg","female; food; indoor; people; portrait","female; people; portrait","female; indoor; people; portrait"
