"rank","index","po_annotation","re_annotation","match_annotation"
1,"im6634.jpg","clouds; plant_life; sea; sky; sunset; tree; water","","plant_life; tree; water"
2,"im23885.jpg","clouds; plant_life; river; sky; tree; water","clouds; river","plant_life; river; tree; water"
3,"im253.jpg","clouds; plant_life; river; sky; tree; water","clouds; river","plant_life; river; tree; water"
4,"im19517.jpg","clouds; plant_life; sea; sky; water","","plant_life; water"
5,"im17264.jpg","clouds; plant_life; river; sky; structures; tree; water","","plant_life; river; tree; water"
6,"im22463.jpg","indoor","",""
7,"im6028.jpg","male; people; plant_life; portrait; river; sky; structures; tree; water","male; people; portrait","plant_life; river; tree; water"
8,"im3030.jpg","clouds; sky; structures; sunset; transport","",""
9,"im587.jpg","night; sky; structures","night",""
10,"im3601.jpg","female; night; people; plant_life; sky; sunset; tree; water","female; people","plant_life; tree; water"
11,"im18819.jpg","animals; bird; lake; plant_life; tree; water","tree","plant_life; tree; water"
12,"im2942.jpg","clouds; flower; lake; plant_life; sky; water","","plant_life; water"
13,"im2301.jpg","plant_life; river; water","","plant_life; river; water"
14,"im11869.jpg","clouds; lake; plant_life; river; sky; tree; water","clouds; river","plant_life; river; tree; water"
15,"im588.jpg","male; people; plant_life; sunset","male; people","plant_life"
16,"im19119.jpg","clouds; female; male; people; plant_life; sky; tree","","plant_life; tree"
17,"im6338.jpg","clouds; plant_life; sky; tree","tree","plant_life; tree"
18,"im6114.jpg","clouds; plant_life; sky; sunset; tree","clouds","plant_life; tree"
19,"im16226.jpg","clouds; female; people; portrait; sea; sky; water","female; people; portrait","water"
20,"im699.jpg","animals; indoor","",""
21,"im23975.jpg","clouds; lake; sea; sky; sunset; water","","water"
22,"im8602.jpg","clouds; plant_life; sea; sky; tree; water","","plant_life; tree; water"
23,"im146.jpg","plant_life; sky; tree","","plant_life; tree"
24,"im2607.jpg","clouds; plant_life; sky; structures; tree","clouds","plant_life; tree"
25,"im8446.jpg","clouds; plant_life; sky; structures; tree","clouds","plant_life; tree"
26,"im3093.jpg","female; indoor; male; people; portrait","female; people; portrait",""
27,"im3962.jpg","clouds; lake; plant_life; river; sky; sunset; tree; water","tree","plant_life; river; tree; water"
28,"im8525.jpg","lake; plant_life; river; sea; sky; water","","plant_life; river; water"
29,"im117.jpg","animals; sky","",""
30,"im7111.jpg","indoor; male; people; structures; transport","male; people",""
31,"im13541.jpg","indoor","",""
32,"im656.jpg","flower; plant_life","flower","plant_life"
33,"im18423.jpg","flower; indoor; plant_life","","plant_life"
34,"im5561.jpg","animals; bird; water","bird","water"
35,"im7865.jpg","clouds; plant_life; river; sky; structures; transport; tree; water","clouds","plant_life; river; tree; water"
36,"im15633.jpg","male; people; plant_life; river; sky; tree; water","people","plant_life; river; tree; water"
37,"im11432.jpg","male; people; portrait","male; people; portrait",""
38,"im19.jpg","structures","",""
39,"im15476.jpg","indoor; people; structures","",""
40,"im23974.jpg","male; people; sea; sky; water","male; people","water"
41,"im19937.jpg","clouds; plant_life; river; sky; structures; water","clouds","plant_life; river; water"
42,"im9.jpg","clouds; sky; structures","",""
43,"im20006.jpg","female; indoor; male; people; structures","male; people",""
44,"im24440.jpg","clouds; plant_life; river; sky; tree; water","","plant_life; river; tree; water"
45,"im24365.jpg","female; people; plant_life; portrait; structures","female; people; portrait","plant_life"
46,"im864.jpg","female; male; people; sea; sky; water","female; male; people","water"
47,"im11072.jpg","female; male; people; plant_life; structures; tree","female; male; people","plant_life; tree"
48,"im18166.jpg","clouds; female; people; sky; structures","clouds; female; people",""
49,"im2759.jpg","plant_life; sky; structures; tree","","plant_life; tree"
50,"im2181.jpg","food; indoor; male; people","male; people",""
51,"im22760.jpg","night; sea; sky; structures; water","","water"
52,"im5122.jpg","indoor; male; night; people","male; people",""
53,"im11610.jpg","plant_life; river; tree; water","river","plant_life; river; tree; water"
54,"im18954.jpg","indoor","",""
55,"im15776.jpg","plant_life; river; tree; water","","plant_life; river; tree; water"
56,"im18039.jpg","clouds; plant_life; sky; structures; transport; tree","clouds","plant_life; tree"
57,"im22688.jpg","indoor; night; sunset","",""
58,"im918.jpg","female; male; night; people; plant_life; tree; water","night; people","plant_life; tree; water"
59,"im13788.jpg","indoor; male; night; people","male; people",""
60,"im5103.jpg","baby; female; indoor; people; portrait","people; portrait",""
61,"im14227.jpg","clouds; lake; plant_life; sea; sky; structures; tree; water","clouds","plant_life; tree; water"
62,"im9047.jpg","clouds; sky; structures; sunset","clouds",""
63,"im9613.jpg","clouds; plant_life; river; sky; structures; sunset; tree; water","river","plant_life; river; tree; water"
64,"im8596.jpg","female; people; portrait","female; people; portrait",""
65,"im148.jpg","sea; sky; structures; transport; water","","water"
66,"im22536.jpg","clouds; lake; plant_life; river; sky; tree; water","clouds","plant_life; river; tree; water"
67,"im23289.jpg","clouds; female; male; people; plant_life; sea; sky; tree; water","clouds","plant_life; tree; water"
68,"im11418.jpg","indoor; male; night; people; portrait; structures","male; people; portrait",""
69,"im8975.jpg","clouds; sky; sunset","clouds",""
70,"im24044.jpg","clouds; indoor; sea; sky; water","","water"
