"rank","index","po_annotation","re_annotation","match_annotation"
1,"im24391.jpg","clouds; female; male; people; plant_life; river; sky; structures; transport; water","clouds","clouds; people; plant_life; sky; structures"
2,"im5955.jpg","clouds; sky; structures; sunset","clouds","clouds; sky; structures"
3,"im9353.jpg","clouds; female; people; sky; structures; sunset","","clouds; people; sky; structures"
4,"im13946.jpg","car; clouds; plant_life; sky; structures; sunset; transport","clouds","clouds; plant_life; sky; structures"
5,"im7833.jpg","car; clouds; plant_life; sky; structures; sunset; transport; tree","","clouds; plant_life; sky; structures; tree"
6,"im20175.jpg","car; lake; plant_life; sea; sky; structures; transport; tree; water","","plant_life; sky; structures; tree"
7,"im19856.jpg","lake; night; plant_life; sea; sky; structures; sunset; water","","plant_life; sky; structures"
8,"im15420.jpg","car; clouds; night; plant_life; sky; structures; sunset; transport; tree","clouds","clouds; plant_life; sky; structures; tree"
9,"im6721.jpg","clouds; lake; plant_life; river; sky; structures; sunset; tree; water","","clouds; plant_life; sky; structures; tree"
10,"im1404.jpg","night; sea; sky; structures; sunset; water","night","sky; structures"
11,"im24192.jpg","clouds; plant_life; sky; structures; tree","","clouds; plant_life; sky; structures; tree"
12,"im1042.jpg","clouds; plant_life; sky; structures; sunset; tree","clouds","clouds; plant_life; sky; structures; tree"
13,"im2720.jpg","clouds; plant_life; sky; structures; sunset; transport; tree","","clouds; plant_life; sky; structures; tree"
14,"im10725.jpg","clouds; plant_life; river; sky; structures; sunset; transport; tree; water","","clouds; plant_life; sky; structures; tree"
15,"im21777.jpg","car; clouds; sky; structures; sunset; transport","clouds","clouds; sky; structures"
16,"im11550.jpg","car; night; plant_life; sky; structures; transport; tree","","plant_life; sky; structures; tree"
17,"im8457.jpg","car; clouds; sky; structures; sunset; transport","","clouds; sky; structures"
18,"im10152.jpg","night; plant_life; sky; structures; tree; water","night","plant_life; sky; structures; tree"
19,"im23173.jpg","clouds; plant_life; sky; structures; sunset; tree","","clouds; plant_life; sky; structures; tree"
20,"im17726.jpg","car; clouds; sky; structures; sunset; transport; water","","clouds; sky; structures"
21,"im9387.jpg","car; clouds; plant_life; sky; structures; sunset; transport; tree","","clouds; plant_life; sky; structures; tree"
22,"im21307.jpg","clouds; sky; structures; sunset","","clouds; sky; structures"
23,"im22752.jpg","animals; clouds; male; people; sky; structures","","clouds; people; sky; structures"
24,"im18360.jpg","clouds; night; sky; structures","","clouds; sky; structures"
25,"im9421.jpg","night; sky; structures","night","sky; structures"
26,"im16543.jpg","car; night; sky; structures; transport","","sky; structures"
27,"im20008.jpg","clouds; sky; structures","","clouds; sky; structures"
28,"im20319.jpg","car; clouds; plant_life; sky; structures; sunset; transport; tree","clouds","clouds; plant_life; sky; structures; tree"
29,"im4442.jpg","night; sky; structures","night","sky; structures"
30,"im13574.jpg","clouds; sky; structures; transport","clouds","clouds; sky; structures"
31,"im7924.jpg","clouds; night; sky; structures; sunset","night","clouds; sky; structures"
32,"im4555.jpg","car; clouds; plant_life; sky; structures; transport; tree","","clouds; plant_life; sky; structures; tree"
33,"im18472.jpg","clouds; plant_life; river; sky; structures; water","clouds","clouds; plant_life; sky; structures"
34,"im4216.jpg","clouds; sky; structures; sunset","","clouds; sky; structures"
35,"im5570.jpg","clouds; plant_life; sky; structures; sunset; tree","clouds","clouds; plant_life; sky; structures; tree"
36,"im6453.jpg","night; plant_life; sky; structures; tree","night","plant_life; sky; structures; tree"
37,"im9709.jpg","clouds; plant_life; sky; structures; tree; water","","clouds; plant_life; sky; structures; tree"
38,"im5630.jpg","clouds; sky; structures; sunset","clouds","clouds; sky; structures"
39,"im5291.jpg","night; plant_life; sea; sky; structures; tree; water","night","plant_life; sky; structures; tree"
40,"im24200.jpg","night; river; sky; structures; sunset; transport; water","","sky; structures"
41,"im14649.jpg","night; sky; structures","night","sky; structures"
42,"im9899.jpg","clouds; night; sky; structures; transport","night","clouds; sky; structures"
43,"im6930.jpg","night; river; sky; structures; water","night","sky; structures"
44,"im20414.jpg","car; night; sky; structures; transport","night","sky; structures"
45,"im18941.jpg","clouds; plant_life; sky; structures","clouds","clouds; plant_life; sky; structures"
46,"im2080.jpg","car; clouds; sky; structures; sunset; transport","clouds","clouds; sky; structures"
47,"im14982.jpg","night; sky; structures","night","sky; structures"
48,"im19430.jpg","car; night; plant_life; sky; structures; transport; tree","","plant_life; sky; structures; tree"
49,"im10119.jpg","clouds; plant_life; sky; structures; sunset; tree","","clouds; plant_life; sky; structures; tree"
50,"im7365.jpg","clouds; female; male; people; plant_life; sky; structures; tree; water","male; people","clouds; people; plant_life; sky; structures; tree"
