"rank","index","po_annotation","re_annotation","match_annotation"
1,"im10497.jpg","plant_life; structures","","plant_life; structures"
2,"im11292.jpg","structures","","structures"
3,"im20965.jpg","structures","","structures"
4,"im5731.jpg","structures","","structures"
5,"im22771.jpg","people; structures","","structures"
6,"im8707.jpg","structures","","structures"
7,"im17923.jpg","structures","","structures"
8,"im16112.jpg","female; people; structures","","structures"
9,"im17968.jpg","structures; water","","structures"
10,"im4132.jpg","people; structures","","structures"
11,"im12106.jpg","","",""
12,"im10460.jpg","structures","","structures"
13,"im7466.jpg","structures","","structures"
14,"im3733.jpg","structures","","structures"
15,"im16378.jpg","plant_life; structures","","plant_life; structures"
16,"im5054.jpg","structures","","structures"
17,"im7491.jpg","","",""
18,"im15834.jpg","plant_life; structures","","plant_life; structures"
19,"im6785.jpg","structures","","structures"
20,"im17942.jpg","structures","","structures"
21,"im3326.jpg","male; people; structures","","structures"
22,"im5420.jpg","structures; sunset","","structures"
23,"im13373.jpg","structures","","structures"
24,"im11483.jpg","female; people; structures","female; people","structures"
25,"im2121.jpg","structures","","structures"
26,"im12157.jpg","female; indoor; people","",""
27,"im19284.jpg","male; people; plant_life; structures","","plant_life; structures"
28,"im15049.jpg","indoor; structures","","structures"
29,"im3769.jpg","female; people; structures","people","structures"
30,"im14844.jpg","female; male; people; structures","","structures"
31,"im2959.jpg","female; people; structures","","structures"
32,"im22012.jpg","structures","","structures"
33,"im19498.jpg","structures","","structures"
34,"im3366.jpg","structures","","structures"
35,"im10755.jpg","structures","","structures"
36,"im14258.jpg","animals; dog; structures","","structures"
37,"im24543.jpg","structures","","structures"
38,"im21999.jpg","plant_life; structures","","plant_life; structures"
39,"im552.jpg","male; people; plant_life; structures","","plant_life; structures"
40,"im24709.jpg","animals; dog; flower; plant_life; structures","dog","plant_life; structures"
41,"im14451.jpg","animals; bird; structures","bird","structures"
42,"im2617.jpg","plant_life; structures","","plant_life; structures"
43,"im19635.jpg","indoor","",""
44,"im6435.jpg","","",""
45,"im2383.jpg","flower; plant_life; structures","flower","plant_life; structures"
46,"im23183.jpg","structures","","structures"
47,"im4086.jpg","structures","","structures"
48,"im2906.jpg","people; water","",""
49,"im13355.jpg","","",""
50,"im19590.jpg","structures","","structures"
51,"im9872.jpg","structures","","structures"
52,"im3977.jpg","structures","","structures"
53,"im3889.jpg","structures","","structures"
54,"im23041.jpg","animals; structures","","structures"
55,"im19267.jpg","structures","","structures"
56,"im4749.jpg","night; structures","","structures"
57,"im20702.jpg","structures","","structures"
58,"im4720.jpg","structures","","structures"
59,"im13908.jpg","structures","","structures"
60,"im15264.jpg","animals; dog; structures","dog","structures"
61,"im8552.jpg","car; structures; transport","","structures"
62,"im13078.jpg","male; people; structures","","structures"
63,"im12591.jpg","female; people; structures","","structures"
64,"im10049.jpg","male; people; plant_life; structures; tree; water","","plant_life; structures"
65,"im19828.jpg","car; plant_life; structures; transport","","plant_life; structures"
66,"im3144.jpg","plant_life; structures","","plant_life; structures"
67,"im9882.jpg","","",""
68,"im22367.jpg","animals; food; water","",""
69,"im833.jpg","animals; dog; structures","dog","structures"
70,"im3483.jpg","animals; dog; structures","dog","structures"
71,"im9166.jpg","car; plant_life; sky; structures; transport; tree","car","plant_life; structures"
72,"im23265.jpg","female; indoor; people","",""
73,"im11945.jpg","structures","","structures"
74,"im21218.jpg","plant_life; structures","","plant_life; structures"
75,"im9699.jpg","structures","","structures"
76,"im7863.jpg","male; people; structures","","structures"
77,"im24670.jpg","","",""
78,"im16621.jpg","male; people; sky; structures; transport; water","","structures"
79,"im11984.jpg","car; female; people; plant_life; structures; transport; tree","","plant_life; structures"
80,"im20275.jpg","people","",""
81,"im21685.jpg","people; structures","","structures"
82,"im6677.jpg","animals; dog; male; people; plant_life; sky; structures; tree","male; people","plant_life; structures"
83,"im22376.jpg","animals; dog; water","dog",""
84,"im12513.jpg","plant_life; structures; tree","","plant_life; structures"
85,"im6444.jpg","animals; dog; structures","dog","structures"
86,"im19046.jpg","structures","","structures"
87,"im12217.jpg","animals; dog; plant_life; structures","dog","plant_life; structures"
88,"im3854.jpg","animals; dog; structures","dog","structures"
89,"im13438.jpg","female; people; structures","","structures"
90,"im3884.jpg","female; people","",""
91,"im10543.jpg","","",""
92,"im4931.jpg","animals; structures","","structures"
93,"im14437.jpg","female; people; structures","","structures"
94,"im11512.jpg","structures","","structures"
95,"im5473.jpg","indoor; structures","","structures"
96,"im4497.jpg","animals; plant_life; structures","","plant_life; structures"
97,"im12749.jpg","male; people; structures","","structures"
98,"im16659.jpg","plant_life; structures; transport","","plant_life; structures"
99,"im1037.jpg","animals; dog; flower; male; people; plant_life; structures; transport","dog","plant_life; structures"
100,"im2547.jpg","sky; structures","","structures"
101,"im8126.jpg","animals; dog; structures","dog","structures"
102,"im18735.jpg","structures; transport","","structures"
103,"im20413.jpg","animals; structures","","structures"
104,"im7149.jpg","indoor; male; people","",""
105,"im6215.jpg","baby; people; structures; transport","","structures"
106,"im18913.jpg","structures","","structures"
107,"im20299.jpg","car; female; people; plant_life; structures; transport; tree","female; people","plant_life; structures"
108,"im7718.jpg","animals; dog; plant_life; structures","dog","plant_life; structures"
109,"im24074.jpg","indoor; plant_life","","plant_life"
110,"im9115.jpg","indoor; male; people; structures","","structures"
111,"im9493.jpg","animals; dog; structures; water","dog","structures"
112,"im17739.jpg","sky; structures","","structures"
