"rank","index","po_annotation","re_annotation","match_annotation"
1,"im10330.jpg","female; people; sky; structures; transport","female; people","female; people; sky; transport"
2,"im21730.jpg","female; people; structures","female; people","female; people"
3,"im9363.jpg","animals; male; people; structures","male; people","people"
4,"im10302.jpg","car; male; people; plant_life; sky; structures; transport; tree","","car; people; plant_life; sky; transport; tree"
5,"im13686.jpg","animals; bird; dog; male; people; structures","male; people","people"
6,"im23947.jpg","female; people; structures","female; people","female; people"
7,"im15230.jpg","car; female; people; plant_life; portrait; structures; transport; tree","female; people; portrait","car; female; people; plant_life; transport; tree"
8,"im1902.jpg","female; male; people; sky; structures","female; male; people","female; people; sky"
9,"im18929.jpg","animals; female; indoor; male; people; plant_life; structures; tree","people","female; people; plant_life; tree"
10,"im16620.jpg","female; male; night; people; structures","female; people","female; people"
