"rank","index","po_annotation","re_annotation","match_annotation"
1,"im11182.jpg","indoor; male; people; plant_life; portrait; tree","male; people; portrait","indoor; male; people; portrait"
2,"im20220.jpg","indoor","","indoor"
3,"im1135.jpg","indoor; male; people; portrait","male; people; portrait","indoor; male; people; portrait"
4,"im10281.jpg","indoor; male; people; portrait; structures","male; people; portrait","indoor; male; people; portrait"
5,"im17015.jpg","indoor","","indoor"
6,"im4076.jpg","indoor; male; people; portrait","male; people; portrait","indoor; male; people; portrait"
7,"im7582.jpg","indoor","","indoor"
8,"im13028.jpg","indoor; people","","indoor; people"
9,"im20898.jpg","female; people","female; people","people"
10,"im21484.jpg","indoor","","indoor"
