"rank","index","po_annotation","re_annotation","match_annotation"
1,"im8832.jpg","female; people; plant_life; transport; tree","people","female; people; plant_life; transport; tree"
2,"im21026.jpg","car; plant_life; sky; structures; sunset; transport; tree; water","","plant_life; structures; transport; tree"
3,"im3692.jpg","plant_life; structures; tree","","plant_life; structures; tree"
4,"im8450.jpg","plant_life; river; sky; structures; tree; water","","plant_life; structures; tree"
5,"im8613.jpg","female; male; people; plant_life; structures; tree","female; male; people; tree","female; male; people; plant_life; structures; tree"
6,"im23650.jpg","female; people; plant_life; sky; structures; tree; water","female; people","female; people; plant_life; structures; tree"
7,"im7160.jpg","plant_life; river; sky; structures; transport; tree; water","","plant_life; structures; transport; tree"
8,"im14970.jpg","female; male; people; plant_life; structures; sunset; transport; tree","male; people","female; male; people; plant_life; structures; transport; tree"
9,"im213.jpg","male; people; plant_life; tree","male; people; tree","male; people; plant_life; tree"
10,"im9282.jpg","male; people; plant_life; sky; structures; tree","people","male; people; plant_life; structures; tree"
