"rank","index","po_annotation","re_annotation","match_annotation"
1,"im6634.jpg","clouds; plant_life; sea; sky; sunset; tree; water","","plant_life; tree; water"
2,"im19517.jpg","clouds; plant_life; sea; sky; water","","plant_life; water"
3,"im22463.jpg","indoor","",""
4,"im6028.jpg","male; people; plant_life; portrait; river; sky; structures; tree; water","male; people; portrait","plant_life; river; tree; water"
5,"im3030.jpg","clouds; sky; structures; sunset; transport","",""
6,"im587.jpg","night; sky; structures","night",""
7,"im3601.jpg","female; night; people; plant_life; sky; sunset; tree; water","female; people","plant_life; tree; water"
8,"im18819.jpg","animals; bird; lake; plant_life; tree; water","tree","plant_life; tree; water"
9,"im2942.jpg","clouds; flower; lake; plant_life; sky; water","","plant_life; water"
10,"im2301.jpg","plant_life; river; water","","plant_life; river; water"
