"rank","index","po_annotation","re_annotation","match_labels"
1,"im6907.jpg","car; female; male; people; sky; structures; transport","car; male; people","car"
2,"im12396.jpg","car; plant_life; structures; transport","car","car"
3,"im4705.jpg","car; male; people; plant_life; structures; transport; tree","car","car"
4,"im3348.jpg","car; plant_life; structures; transport","car","car"
5,"im19052.jpg","car; plant_life; transport","car","car"
6,"im15487.jpg","car; plant_life; structures; transport; tree","car","car"
7,"im15302.jpg","car; structures; transport","car","car"
8,"im8024.jpg","car; plant_life; structures; transport","car","car"
9,"im13834.jpg","car; indoor; transport","car","car"
10,"im14304.jpg","car; female; indoor; male; people; transport","car; female; people","car"
11,"im12469.jpg","car; plant_life; structures; transport","car","car"
12,"im13670.jpg","car; plant_life; sky; structures; transport; tree","car","car"
13,"im3717.jpg","car; flower; plant_life; transport","car","car"
14,"im8916.jpg","car; plant_life; structures; transport; tree","car","car"
15,"im19562.jpg","car; plant_life; structures; transport","car","car"
16,"im21101.jpg","car; plant_life; structures; transport","car","car"
17,"im13841.jpg","car; structures; transport","car","car"
18,"im5129.jpg","car; clouds; plant_life; river; sky; structures; transport; tree; water","car","car"
19,"im9337.jpg","car; indoor; structures; transport","car","car"
20,"im16414.jpg","car; plant_life; structures; transport; tree","car","car"
21,"im12910.jpg","car; female; male; people; plant_life; structures; transport; tree","car; people","car"
22,"im1429.jpg","car; structures; transport","car","car"
23,"im4837.jpg","car; indoor; transport","car","car"
24,"im13817.jpg","car; clouds; sky; structures; transport","car","car"
25,"im3577.jpg","car; sky; structures; transport","car","car"
26,"im18897.jpg","car; plant_life; structures; transport; tree","car","car"
27,"im13081.jpg","car; night; structures; transport","car","car"
28,"im21219.jpg","car; plant_life; sky; structures; transport; tree","car","car"
29,"im14183.jpg","car; female; people; structures; transport","car; people","car"
30,"im4835.jpg","car; plant_life; structures; transport","car","car"
31,"im16867.jpg","car; plant_life; structures; transport; tree","car","car"
32,"im12828.jpg","car; male; people; plant_life; sky; structures; transport; tree","car","car"
33,"im3218.jpg","car; plant_life; structures; transport","car","car"
34,"im18760.jpg","car; female; male; people; plant_life; transport; tree","car; people","car"
35,"im22710.jpg","car; structures; transport","car","car"
36,"im4881.jpg","car; female; male; night; people; plant_life; structures; transport","car","car"
37,"im5007.jpg","car; clouds; plant_life; sky; structures; sunset; transport; tree","car","car"
38,"im853.jpg","car; plant_life; sky; structures; transport; tree","car","car"
39,"im20688.jpg","car; plant_life; structures; transport; tree","car","car"
40,"im24816.jpg","car; indoor; transport","car","car"
41,"im23660.jpg","car; female; indoor; people; transport","car","car"
42,"im18693.jpg","car; structures; transport","car","car"
43,"im10251.jpg","car; indoor; structures; transport","car","car"
44,"im5068.jpg","car; clouds; sky; structures; transport","car; clouds","car"
45,"im4326.jpg","car; plant_life; sky; structures; transport; tree","car","car"
46,"im18029.jpg","car; plant_life; sky; structures; transport; tree","car","car"
47,"im10684.jpg","car; indoor; structures; transport","car","car"
48,"im4688.jpg","car; plant_life; structures; sunset; transport; tree","car","car"
49,"im20250.jpg","car; indoor; plant_life; structures; transport; tree","car","car"
50,"im18493.jpg","car; male; people; plant_life; structures; transport; tree","car; people","car"
51,"im24601.jpg","car; structures; transport","car","car"
52,"im23094.jpg","car; clouds; plant_life; sky; structures; transport; tree","car","car"
53,"im3945.jpg","car; male; people; plant_life; transport; tree","car","car"
54,"im11599.jpg","car; female; indoor; people; structures; transport","car","car"
55,"im462.jpg","car; indoor; night; transport","car","car"
56,"im11113.jpg","car; transport","car","car"
57,"im1947.jpg","car; indoor; transport","car","car"
58,"im2692.jpg","car; plant_life; structures; transport; tree","car","car"
59,"im17640.jpg","car; plant_life; transport; tree","car","car"
60,"im17381.jpg","structures; transport","",""
61,"im851.jpg","car; structures; transport","car","car"
62,"im15380.jpg","car; plant_life; sky; structures; transport; tree","car","car"
63,"im17389.jpg","car; plant_life; structures; transport; tree","car","car"
64,"im14148.jpg","car; structures; transport","car","car"
65,"im14631.jpg","car; female; male; people; structures; transport","car","car"
66,"im10637.jpg","clouds; plant_life; sky; structures; transport; tree","",""
67,"im8303.jpg","car; male; people; plant_life; structures; transport","car","car"
68,"im14331.jpg","car; clouds; lake; plant_life; sea; sky; structures; sunset; transport; tree; water","car","car"
69,"im12721.jpg","car; plant_life; structures; transport; tree","car","car"
70,"im20919.jpg","plant_life; sky; structures; transport","",""
71,"im14765.jpg","car; plant_life; sky; structures; transport; tree","",""
72,"im23514.jpg","car; male; people; plant_life; sky; structures; transport; tree","car; male; people","car"
73,"im6982.jpg","car; indoor; night; transport","car","car"
74,"im8942.jpg","plant_life; sky; structures; tree","",""
75,"im17102.jpg","car; plant_life; structures; transport; tree","car","car"
76,"im11916.jpg","car; plant_life; sky; structures; transport; tree","car","car"
77,"im15870.jpg","car; clouds; plant_life; sky; structures; transport; tree","",""
78,"im16466.jpg","car; plant_life; structures; transport","car","car"
79,"im14279.jpg","car; sky; structures; transport","car","car"
80,"im16158.jpg","car; plant_life; structures; transport","car","car"
81,"im13641.jpg","car; indoor; transport","car","car"
82,"im2915.jpg","car; structures; transport","car","car"
83,"im14411.jpg","flower; indoor; plant_life; structures; transport; tree","",""
84,"im8984.jpg","plant_life; sky; structures; transport; tree; water","",""
85,"im24845.jpg","car; structures; transport","car","car"
86,"im14291.jpg","car; plant_life; structures; transport; tree","car","car"
87,"im7235.jpg","female; people; plant_life; portrait; sky; tree","female; people; portrait",""
88,"im11213.jpg","car; clouds; plant_life; sky; structures; transport; tree","car","car"
89,"im6086.jpg","car; night; sky; structures; transport","car; night","car"
90,"im72.jpg","car; transport","car","car"
91,"im10827.jpg","car; plant_life; sky; transport; tree","car","car"
92,"im12930.jpg","car; flower; male; people; plant_life; structures; transport","car; people","car"
93,"im9111.jpg","clouds; sky; structures; transport","",""
94,"im14501.jpg","car; plant_life; structures; transport; tree","car","car"
95,"im20053.jpg","car; female; male; people; plant_life; structures; transport; tree; water","female; male; people",""
96,"im2390.jpg","car; flower; plant_life; structures; transport; tree","car","car"
97,"im12009.jpg","car; clouds; sea; sky; structures; sunset; transport; water","car; clouds","car"
98,"im18672.jpg","car; male; people; sky; structures; transport","car; male; people","car"
99,"im20801.jpg","night; sky; structures","",""
100,"im21512.jpg","plant_life; sky; structures; transport; tree","",""
101,"im19331.jpg","car; male; people; plant_life; sky; structures; transport; tree","people",""
102,"im20201.jpg","car; indoor; male; people; transport","car","car"
