"rank","index","po_annotation","re_annotation","match_annotation"
1,"im23199.jpg","clouds; lake; plant_life; sky; tree; water","clouds","clouds; lake; sky; water"
2,"im16396.jpg","clouds; lake; plant_life; sky; tree; water","clouds","clouds; lake; sky; water"
3,"im12921.jpg","clouds; lake; plant_life; river; sky; tree; water","clouds","clouds; lake; sky; water"
4,"im21820.jpg","clouds; plant_life; sky; structures","clouds","clouds; sky"
5,"im10994.jpg","clouds; plant_life; sky; tree","","clouds; sky"
6,"im16503.jpg","plant_life; sky; tree","","sky"
7,"im2764.jpg","plant_life; sky; sunset; tree","","sky"
8,"im17785.jpg","clouds; lake; plant_life; sky; tree; water","","clouds; lake; sky; water"
9,"im17314.jpg","plant_life; sky; sunset","","sky"
10,"im4553.jpg","plant_life; sky; structures; tree","","sky"
