"rank","index","po_annotation","re_annotation","match_annotation"
1,"im20648.jpg","animals; bird; flower; plant_life","bird; flower","animals; bird"
2,"im7967.jpg","animals; bird; plant_life","bird","animals; bird"
3,"im5193.jpg","animals; bird","bird","animals; bird"
4,"im3021.jpg","animals; bird","bird","animals; bird"
5,"im7799.jpg","animals; bird; plant_life; sky","bird","animals; bird; sky"
6,"im22016.jpg","animals; bird; structures","bird","animals; bird; structures"
7,"im2938.jpg","animals; bird; plant_life","bird","animals; bird"
8,"im8702.jpg","animals; bird; plant_life; tree","bird; tree","animals; bird"
9,"im4222.jpg","animals; bird; night; plant_life; sunset","bird","animals; bird"
10,"im10457.jpg","animals; bird; plant_life; structures; tree","bird","animals; bird; structures"
