"rank","index","po_annotation","re_annotation","match_labels"
1,"im24712.jpg","flower; plant_life; structures","flower","flower"
2,"im14072.jpg","flower; plant_life","flower","flower"
3,"im24831.jpg","flower; plant_life; sky; tree","flower","flower"
4,"im24438.jpg","flower; plant_life","flower","flower"
5,"im24387.jpg","clouds; flower; plant_life; sky; water","flower","flower"
6,"im7213.jpg","flower; plant_life","flower","flower"
7,"im18618.jpg","flower; plant_life","flower","flower"
8,"im23558.jpg","flower; plant_life","flower","flower"
9,"im7515.jpg","flower; plant_life","flower","flower"
10,"im5392.jpg","flower; plant_life","flower","flower"
11,"im22596.jpg","flower; plant_life","flower","flower"
12,"im379.jpg","flower; plant_life","flower","flower"
13,"im311.jpg","flower; plant_life","flower","flower"
14,"im14053.jpg","flower; plant_life; structures","flower","flower"
15,"im22041.jpg","flower; plant_life","flower","flower"
16,"im5155.jpg","flower; plant_life","flower","flower"
17,"im18902.jpg","flower; plant_life","flower","flower"
18,"im13022.jpg","flower; plant_life","flower","flower"
19,"im24482.jpg","flower; plant_life","flower","flower"
20,"im3779.jpg","flower; plant_life","flower","flower"
21,"im8538.jpg","flower; plant_life","flower","flower"
22,"im5895.jpg","flower; plant_life","flower","flower"
23,"im24947.jpg","flower; plant_life","flower","flower"
24,"im4152.jpg","flower; plant_life","flower","flower"
25,"im10554.jpg","flower; plant_life","flower","flower"
26,"im16418.jpg","flower; plant_life","flower","flower"
27,"im10257.jpg","flower; plant_life","flower","flower"
28,"im1217.jpg","flower; plant_life","flower","flower"
29,"im18079.jpg","flower; plant_life; water","flower","flower"
30,"im21959.jpg","flower; plant_life","flower","flower"
31,"im6334.jpg","flower; plant_life","flower","flower"
32,"im3811.jpg","flower; plant_life","flower","flower"
33,"im22707.jpg","flower; plant_life; sky","flower","flower"
34,"im2378.jpg","flower; plant_life; sky; structures; transport","flower","flower"
35,"im147.jpg","flower; plant_life","flower","flower"
36,"im1918.jpg","flower; plant_life","flower","flower"
37,"im5384.jpg","flower; plant_life","flower","flower"
38,"im13250.jpg","flower; plant_life","flower","flower"
39,"im19746.jpg","flower; plant_life","flower","flower"
40,"im23277.jpg","clouds; flower; plant_life; sky","flower","flower"
41,"im2156.jpg","flower; plant_life","flower","flower"
42,"im19341.jpg","flower; plant_life","flower","flower"
43,"im3063.jpg","flower; plant_life","flower","flower"
44,"im23542.jpg","flower; plant_life","flower","flower"
45,"im1653.jpg","flower; plant_life","flower","flower"
46,"im24076.jpg","flower; plant_life","flower","flower"
47,"im23274.jpg","flower; plant_life","flower","flower"
48,"im2012.jpg","flower; plant_life","flower","flower"
49,"im16011.jpg","flower; plant_life","flower","flower"
