Img_name; labels; matching;
im157;clyedsdale, horse, parade, blueribbonwinner, platinumphoto, yourpreferredpicture, diamondclassphotographer,brown;QUERY;
im9934;guyronkar, horse, equine, portrait, portraiture, studio, flash, strobe, scrim, backlight, black, background, cutout, horseriding, horsemanship, strobist, mare, painting, bernkastel, wittlich, trier, noviand, polaris, anawesomeshot, loh;horse;
im23706; horse, caballo, portrait, retrato, animal, western, nature, volume, shape, bravo, diamondclassphotographer;horse,diamondclassphotographer;
im1817;e510, zd, horse, hest, fun, sjov, 1442mm, f3556, grazing, græsser, cloud, sky, himmel, colour, farve, blueribbonwinner, brown;horse, blueribbonwinner, brown;
im23036;horse, caballo, fotomisiones, brown;horse, brown;
im17635;horse, horses, pony, ponies, riding, horsebackriding, horseback, foals, foal, farm, farmland, farmanimals, animals, rockymeadowranch, ranch, arkansas, rural, harrison, gaither, ozarks, northernarkansas;horse;
im4682;boston, parades, southboston, stpatricksday2008, horses, clydesdales, budweiser, parade, bpm031608, bostonist, stpaddysday, stpatricksdayparade2008, stpatricksdayparade, explore, happystpatricksday;horse, parade;
im899;horse, bundy, stb, chesnut, oaklandshuntclub;	horse;
im19206;horse, dressage, competition, plats, smart, chesnut, brown;horse, brown;
im14806; 07, iceland, pony, ponies, horse, nikon, 8800, nature, postcard, photoshop, image, camera, icon, nikonvscanon, davidnikonvscanon, images, photo, photography, photographer, photograph, theworld, world, viewtheworld, oneworld, digitalimage, digitalphoto, digital, pixel, chromatic, aberation, dp, digitalphotograph, saturation, saturated, luck, lucky, surprise, find, search, original, brown;horse, brown;
im20838;gray, horse, pony, connemara, paddock, loh, topv333;horse;
