"rank","index","po_annotation","re_annotation","match_annotation"
1,"im24442.jpg","flower; plant_life; tree","flower; tree","flower; plant_life"
2,"im12196.jpg","flower; plant_life; tree","flower","flower; plant_life"
3,"im23466.jpg","flower; plant_life","flower","flower; plant_life"
4,"im3112.jpg","flower; plant_life","flower","flower; plant_life"
5,"im24367.jpg","flower; plant_life","flower","flower; plant_life"
6,"im13766.jpg","flower; plant_life","flower","flower; plant_life"
7,"im19114.jpg","flower; night; plant_life","flower","flower; plant_life"
8,"im1916.jpg","flower; plant_life","flower","flower; plant_life"
9,"im24947.jpg","flower; plant_life","flower","flower; plant_life"
10,"im18618.jpg","flower; plant_life","flower","flower; plant_life"
