"rank","index","po_annotation","re_annotation","match_labels"
1,"im21765.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
2,"im15816.jpg","baby; female; indoor; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
3,"im14915.jpg","baby; female; indoor; people; portrait","female; people; portrait","female; people; portrait"
4,"im2461.jpg","baby; indoor; male; people; portrait","male; people; portrait","people; portrait"
5,"im17503.jpg","baby; female; people; portrait","female; people; portrait","female; people; portrait"
6,"im4228.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
7,"im8624.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
8,"im3430.jpg","baby; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
9,"im6641.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
10,"im20522.jpg","baby; female; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
11,"im18328.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
12,"im8357.jpg","baby; male; people; portrait","male; people; portrait","people; portrait"
13,"im5969.jpg","baby; female; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
14,"im4916.jpg","baby; female; indoor; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
15,"im4317.jpg","baby; female; indoor; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
16,"im6734.jpg","indoor; male; people; portrait","male; people; portrait","people; portrait"
17,"im11267.jpg","baby; indoor; people; portrait","people; portrait","people; portrait"
18,"im7973.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
19,"im19568.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
20,"im8528.jpg","indoor; male; people","people","people"
21,"im22255.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
22,"im10612.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
23,"im9601.jpg","baby; female; indoor; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
24,"im22262.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
25,"im16285.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
26,"im22269.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
27,"im19314.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
28,"im3189.jpg","baby; female; people; portrait","female; people; portrait","female; people; portrait"
29,"im19595.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
30,"im3879.jpg","indoor; male; people; portrait","male; people; portrait","people; portrait"
31,"im5103.jpg","baby; female; indoor; people; portrait","people; portrait","people; portrait"
32,"im14785.jpg","female; indoor; people; portrait; transport","female; people; portrait","female; people; portrait"
33,"im8857.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
34,"im5458.jpg","baby; indoor; people","people","people"
35,"im15857.jpg","animals; female; indoor; people; portrait","female; people; portrait","female; people; portrait"
36,"im16386.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
37,"im19127.jpg","male; people; portrait; structures","male; people; portrait","people; portrait"
38,"im20374.jpg","clouds; female; male; people; plant_life; portrait; sky; tree","female; male; people; portrait","female; people; portrait"
39,"im6746.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
40,"im16708.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
41,"im13243.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
42,"im19850.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
43,"im15734.jpg","baby; female; indoor; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
44,"im22878.jpg","male; people; portrait","male; people; portrait","people; portrait"
45,"im19542.jpg","baby; indoor; male; people; portrait","baby; male; people; portrait","baby; people; portrait"
46,"im1345.jpg","baby; indoor; people","baby; people","baby; people"
47,"im10134.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
48,"im6851.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
49,"im8432.jpg","indoor; male; people","male; people","people"
50,"im2523.jpg","baby; people","baby; people","baby; people"
51,"im3437.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
52,"im13302.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
53,"im126.jpg","male; night; people; portrait","male; people; portrait","people; portrait"
54,"im17786.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
55,"im15359.jpg","indoor; male; people; portrait","male; people; portrait","people; portrait"
56,"im6140.jpg","baby; indoor; male; people; portrait","male; people; portrait","people; portrait"
57,"im4710.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
58,"im7770.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
59,"im21087.jpg","female; indoor; male; people; portrait","female; people; portrait","female; people; portrait"
60,"im15942.jpg","car; clouds; female; indoor; people; portrait; sky; structures; sunset; transport","female; people; portrait","female; people; portrait"
61,"im9981.jpg","baby; female; flower; people; plant_life; portrait","baby; female; people; portrait","baby; female; people; portrait"
62,"im17268.jpg","female; indoor; people","people","people"
63,"im15947.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
64,"im2579.jpg","female; indoor; people; portrait","female; people; portrait","female; people; portrait"
65,"im20163.jpg","baby; female; people; portrait","baby; female; people; portrait","baby; female; people; portrait"
66,"im1519.jpg","female; people; portrait","female; people; portrait","female; people; portrait"
67,"im8663.jpg","female; indoor; male; people; plant_life; portrait","female; male; people; portrait","female; people; portrait"
