"rank","index","po_annotation","re_annotation","match_labels"
1,"im10436.jpg","clouds; lake; male; people; sea; sky; structures; transport; water","male; people","male; people"
2,"im1627.jpg","clouds; female; people; sea; sky; water","clouds; female; people","people"
3,"im17733.jpg","male; people; sky; structures","male; people","male; people"
4,"im20214.jpg","male; people; plant_life; river; sky; structures; water","people","people"
5,"im22185.jpg","lake; male; people; plant_life; sea; structures; tree; water","male; people","male; people"
6,"im23825.jpg","male; people; sky","male; people","male; people"
7,"im18183.jpg","clouds; female; night; people; plant_life; sky; tree","clouds; female; people","people"
8,"im19369.jpg","lake; male; people; sea; transport; water","male; people","male; people"
9,"im1367.jpg","female; male; people; plant_life; sea; tree; water","male; people","male; people"
10,"im7339.jpg","clouds; female; people; plant_life; river; sky; transport; tree; water","female; people; river","people"
11,"im1772.jpg","clouds; male; night; people; sea; sky; structures; sunset; water","people","people"
12,"im8352.jpg","car; clouds; female; lake; male; people; river; sky; structures; transport; water","car",""
13,"im22583.jpg","clouds; male; people; sea; sky; water","male; people","male; people"
14,"im20069.jpg","clouds; male; people; plant_life; portrait; river; sky; tree; water","male; people; portrait","male; people"
15,"im11437.jpg","clouds; male; people; plant_life; sky; structures; tree","people","people"
16,"im1046.jpg","male; people; plant_life; portrait; sky; structures; tree","male; people; portrait","male; people"
17,"im1903.jpg","clouds; female; people; sea; sky; sunset; water","female; people","people"
18,"im20303.jpg","clouds; sea; sky; transport; water","",""
19,"im4446.jpg","indoor; male; night; people","male; people","male; people"
20,"im18005.jpg","female; indoor; people; portrait","female; people; portrait","people"
21,"im2931.jpg","clouds; female; male; people; plant_life; sea; sky; structures; water","",""
22,"im6997.jpg","female; male; people; river; sea; transport; water","female; male; people","male; people"
23,"im7644.jpg","clouds; female; people; sky","female; people","people"
24,"im4379.jpg","male; night; people; sky; structures; sunset","male; night; people","male; people"
25,"im19793.jpg","clouds; female; people; plant_life; portrait; sea; sky; water","clouds; female; people; portrait","people"
26,"im11173.jpg","clouds; female; male; people; sky; structures; transport; water","male; people","male; people"
27,"im2654.jpg","sky; structures; water","",""
28,"im20942.jpg","clouds; female; people; plant_life; portrait; sea; sky; tree; water","clouds; female; people; portrait","people"
29,"im19390.jpg","clouds; female; people; plant_life; sky; structures; water","people","people"
30,"im4591.jpg","clouds; male; people; sea; sky; sunset; water","clouds; sea",""
31,"im3259.jpg","female; people; portrait; sea; sky; structures; sunset; water","people","people"
32,"im15574.jpg","clouds; female; lake; people; plant_life; sea; sky; sunset; water","people","people"
33,"im6866.jpg","plant_life; sea; sky; structures; sunset; water","",""
34,"im10217.jpg","clouds; female; male; people; sky; structures; sunset; transport","male; people","male; people"
35,"im23289.jpg","clouds; female; male; people; plant_life; sea; sky; tree; water","clouds",""
36,"im24769.jpg","female; lake; people; plant_life; sea; sky; structures; tree; water","female; people","people"
37,"im6872.jpg","male; people; structures","male; people","male; people"
38,"im18180.jpg","clouds; female; people; sky; structures; sunset; water","clouds; female; people","people"
39,"im17816.jpg","clouds; male; people; plant_life; sky; tree","male; people","male; people"
40,"im24896.jpg","animals; bird; clouds; river; sea; sky; structures; sunset; transport; water","bird",""
41,"im17807.jpg","female; male; night; people; sky; structures; sunset","female; male; people","male; people"
42,"im21144.jpg","clouds; male; people; plant_life; sky; structures; transport; tree","male; people","male; people"
43,"im14491.jpg","lake; plant_life; sea; sky; structures; tree; water","tree",""
44,"im24205.jpg","female; male; people; sea; transport; water","female; male; people","male; people"
45,"im16444.jpg","female; indoor; male; people; portrait","female; male; people; portrait","male; people"
46,"im9035.jpg","night; plant_life; sky; structures; tree","night",""
47,"im22757.jpg","female; people","female; people","people"
48,"im11717.jpg","night; people; plant_life; sky; structures; transport; tree; water","night",""
