"rank","index","po_annotation","re_annotation","match_annotation"
1,"im23055.jpg","animals; indoor","","animals; indoor"
2,"im8546.jpg","animals; indoor","","animals; indoor"
3,"im11919.jpg","animals; dog","dog","animals"
4,"im3940.jpg","animals; female; male; people; plant_life; tree","","animals"
5,"im20130.jpg","animals; dog; indoor","dog","animals; indoor"
6,"im4976.jpg","animals; indoor","","animals; indoor"
7,"im22038.jpg","animals; female; indoor; people; portrait","female; people; portrait","animals; indoor"
8,"im23124.jpg","animals","","animals"
9,"im19834.jpg","animals; dog","dog","animals"
10,"im22224.jpg","animals; dog; female; indoor; people; structures","dog","animals; indoor"
