"rank","index","po_annotation","re_annotation","match_annotation"
1,"im9062.jpg","clouds; lake; plant_life; river; sea; sky; sunset; transport; tree; water","river","clouds; sea; sky; transport; water"
2,"im10883.jpg","clouds; lake; male; people; sea; sky; transport; water","people","clouds; sea; sky; transport; water"
3,"im17717.jpg","clouds; female; lake; male; people; sky; structures; transport; water","people","clouds; sky; transport; water"
4,"im3121.jpg","male; people; sea; sky; transport; water","male; people; sea","sea; sky; transport; water"
5,"im13171.jpg","clouds; sea; sky; transport; water","","clouds; sea; sky; transport; water"
6,"im18752.jpg","clouds; sea; sky; transport; water","","clouds; sea; sky; transport; water"
7,"im10986.jpg","clouds; lake; river; sea; sky; structures; sunset; transport; water","clouds","clouds; sea; sky; transport; water"
8,"im8738.jpg","indoor; night","night",""
9,"im4023.jpg","indoor; people","",""
10,"im14406.jpg","animals; dog; structures","dog",""
