"rank","index","po_annotation","re_annotation","match_annotation"
1,"im2049.jpg","animals; dog; female; indoor; people","dog; female","animals; dog; indoor"
2,"im5755.jpg","animals; dog; indoor","dog","animals; dog; indoor"
3,"im2118.jpg","animals; dog; indoor","dog","animals; dog; indoor"
4,"im12583.jpg","animals; dog; plant_life; tree","dog","animals; dog"
5,"im833.jpg","animals; dog; structures","dog","animals; dog"
6,"im10081.jpg","animals; dog; plant_life","dog","animals; dog"
7,"im3079.jpg","animals; dog","dog","animals; dog"
8,"im19536.jpg","animals; dog; female; male; people; sky; structures","dog; people","animals; dog"
9,"im16605.jpg","animals; dog; plant_life; structures","dog","animals; dog"
10,"im12405.jpg","animals; dog; indoor","dog","animals; dog; indoor"
